City,Country,Longitude,Latitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind Speed
butaritari,KI,172.79,3.07,80.1,80.1,81,99,2.28
hermanus,ZA,19.23,-34.42,60.01,60.01,89,5,2.51
batemans bay,AU,150.18,-35.72,53.17,55.0,96,100,4.0
bubaque,GW,-15.83,11.28,80.64,80.64,81,34,11.45
faanui,PF,-151.75,-16.48,77.72,77.72,77,6,16.82
guerrero negro,MX,-114.06,27.98,85.12,85.12,48,0,4.09
punta arenas,CL,-70.92,-53.15,49.14,50.0,45,20,20.8
saint-jerome,CA,-74.0,45.78,69.21,72.0,52,90,2.24
mindelo,CV,-24.98,16.89,80.6,80.6,83,75,5.82
new norfolk,AU,147.06,-42.78,42.26,44.01,75,0,1.99
khandyga,RU,135.6,62.67,39.31,39.31,85,0,1.7
mataura,NZ,168.86,-46.19,45.0,45.0,72,16,11.01
saskylakh,RU,114.08,71.92,44.02,44.02,74,0,7.72
albany,US,-73.97,42.6,82.17,84.0,59,27,6.58
sabha,LY,14.43,27.04,93.85,93.85,14,0,13.22
san cristobal,VE,-72.22,7.77,86.0,86.0,62,40,4.7
moron,AR,-58.62,-34.65,66.9,68.0,52,3,19.46
chippewa falls,US,-91.39,44.94,50.13,51.01,76,90,5.82
ushuaia,AR,-68.3,-54.8,42.8,42.8,81,75,6.93
kutum,SD,24.67,14.2,79.07,79.07,61,43,1.95
port elizabeth,ZA,25.57,-33.92,64.4,64.4,88,0,1.12
khatanga,RU,102.5,71.97,44.85,44.85,71,0,6.4
puerto ayora,EC,-90.35,-0.74,71.92,75.2,60,40,17.22
westport,US,-73.36,41.14,78.78,81.0,57,1,5.82
carnarvon,AU,113.63,-24.87,64.4,64.4,93,0,5.82
alappuzha,IN,76.33,9.49,79.52,79.52,86,78,3.49
vaini,TO,-175.2,-21.2,71.6,71.6,83,75,9.17
hasaki,JP,140.83,35.73,78.26,79.0,88,20,6.93
coquimbo,CL,-71.34,-29.95,57.2,57.2,71,90,9.17
dikson,RU,80.55,73.51,44.83,44.83,88,100,23.22
mahebourg,MU,57.7,-20.41,73.4,73.4,83,20,11.41
qasigiannguit,GL,-51.19,68.82,35.6,35.6,80,40,5.82
luderitz,NA,15.16,-26.65,64.62,64.62,63,0,10.4
kapaa,US,-159.32,22.08,80.02,82.4,69,40,14.99
tsumeb,NA,17.72,-19.23,71.01,71.01,21,0,12.37
nishihara,JP,127.76,26.18,80.94,82.4,94,75,5.82
tainan,TW,120.21,22.99,78.89,79.0,78,40,2.24
clyde river,CA,-68.59,70.47,35.6,35.6,100,75,10.29
seoul,KR,126.98,37.57,70.47,71.6,88,90,4.07
busselton,AU,115.33,-33.65,45.99,46.99,79,0,6.67
kambove,CD,26.6,-10.88,62.08,62.08,31,0,2.86
beringovskiy,RU,179.32,63.05,43.0,43.0,64,0,3.62
cape town,ZA,18.42,-33.93,58.32,60.01,93,0,6.93
jamestown,US,-79.24,42.1,75.2,75.2,69,40,5.82
saint-philippe,RE,55.77,-21.36,68.2,73.4,78,40,11.41
bagdarin,RU,113.6,54.43,50.65,50.65,85,32,1.39
bonavista,CA,-53.11,48.65,63.37,63.37,60,66,16.26
auray,FR,-2.99,47.67,70.41,75.2,60,17,4.7
tuatapere,NZ,167.68,-46.13,45.0,45.0,72,93,11.01
torbay,CA,-52.73,47.67,67.24,68.0,60,40,23.04
hobart,AU,147.33,-42.88,43.68,46.4,70,0,10.29
lompoc,US,-120.46,34.64,63.32,64.4,82,90,5.82
ulladulla,AU,150.47,-35.35,57.67,59.0,100,90,12.75
kaitangata,NZ,169.85,-46.28,46.99,46.99,73,0,1.01
imbituba,BR,-48.67,-28.24,66.2,66.2,100,90,6.93
qaanaaq,GL,-69.36,77.48,29.01,29.01,94,100,11.27
oyama,JP,139.8,36.3,81.57,84.99,88,20,3.36
juazeirinho,BR,-38.05,-6.82,97.88,97.88,14,3,9.42
jijiang,CN,106.25,29.29,79.02,80.01,72,48,2.21
houma,US,-90.72,29.6,90.77,91.99,39,39,5.99
lebu,CL,-73.65,-37.62,52.39,52.39,87,100,5.99
sistranda,NO,8.83,63.73,53.29,53.6,76,40,19.46
nouadhibou,MR,-17.03,20.93,87.8,87.8,74,20,12.75
georgetown,MY,100.34,5.41,79.25,80.6,88,40,4.7
korla,CN,86.15,41.76,72.32,72.32,29,0,11.52
flinders,AU,150.86,-34.58,62.74,64.0,80,100,5.99
puerto madero,MX,-92.42,14.72,89.6,89.6,66,20,5.82
port shepstone,ZA,30.45,-30.74,68.41,68.41,80,0,21.88
ierapetra,GR,25.74,35.01,81.0,81.0,55,0,17.0
bluff,NZ,168.33,-46.6,45.0,45.0,72,66,11.01
barrow,US,-156.79,71.29,33.8,33.8,80,90,9.17
tasiilaq,GL,-37.64,65.61,42.8,42.8,52,20,8.05
kodiak,US,-152.41,57.79,51.8,51.8,81,1,2.59
srednekolymsk,RU,153.68,67.45,41.72,41.72,88,96,6.38
mount isa,AU,139.5,-20.73,73.4,73.4,31,0,10.29
arandis,NA,14.97,-22.42,67.8,67.8,49,0,4.97
prado,BR,-39.22,-17.34,76.78,76.78,60,32,7.4
mitsamiouli,KM,43.28,-11.38,76.59,76.59,75,9,10.29
presque isle,US,-68.02,46.68,75.58,78.8,57,75,12.75
atikokan,CA,-91.62,48.76,46.26,46.26,64,78,4.68
pevek,RU,170.31,69.7,39.69,39.69,94,82,13.11
mar del plata,AR,-57.56,-38.0,57.2,57.2,76,75,14.99
vila franca do campo,PT,-25.43,37.72,77.0,77.0,78,20,11.41
pisco,PE,-76.22,-13.7,64.65,64.99,72,46,8.05
oakdale,US,-92.96,44.96,51.13,52.0,71,20,6.93
paamiut,GL,-49.67,61.99,41.79,41.79,67,100,19.37
kaliganj,BD,89.14,23.41,81.05,81.05,89,100,6.44
kavieng,PG,150.8,-2.57,82.72,82.72,78,87,13.02
shingu,JP,135.98,33.73,72.41,72.41,86,80,5.28
rikitea,PF,-134.97,-23.12,72.03,72.03,73,56,12.35
lagonoy,PH,123.52,13.73,78.35,78.35,84,98,0.63
pontian kecil,MY,103.39,1.48,75.4,75.99,100,20,6.13
sao filipe,CV,-24.5,14.9,80.47,80.47,82,100,18.05
bethel,US,-73.41,41.37,81.14,82.0,54,1,6.93
atuona,PF,-139.03,-9.8,78.12,78.12,71,74,24.74
arraial do cabo,BR,-42.03,-22.97,79.56,80.6,78,5,10.29
harper,LR,-7.72,4.38,76.35,76.35,88,100,13.35
mayo,US,-76.51,38.89,81.72,84.2,69,1,4.97
iqaluit,CA,-68.51,63.75,50.0,50.0,46,75,11.41
port augusta,AU,137.77,-32.5,56.3,57.2,82,90,12.75
saint george,US,-113.58,37.1,66.33,66.99,20,1,11.41
alice springs,AU,133.88,-23.7,62.6,62.6,25,0,3.36
hithadhoo,MV,73.08,-0.6,82.29,82.29,78,46,12.21
klaksvik,FO,-6.59,62.23,51.8,51.8,87,39,19.46
bambous virieux,MU,57.76,-20.34,73.69,73.99,83,20,11.41
faro,PT,-7.93,37.02,78.8,78.8,69,20,8.05
bambanglipuro,ID,110.28,-7.95,74.41,74.41,87,12,5.44
aransas pass,US,-97.15,27.91,89.24,90.0,70,40,11.41
caravelas,BR,-39.25,-17.71,77.99,77.99,57,38,8.41
amapa,BR,-52.0,1.0,97.12,97.12,32,4,5.7
buala,SB,159.59,-8.14,79.54,79.54,81,34,5.21
taltal,CL,-70.48,-25.4,62.6,62.6,58,35,8.05
gasa,PS,34.47,31.5,84.69,86.0,70,75,8.05
sihora,IN,80.12,23.48,78.91,78.91,81,82,2.98
yellowknife,CA,-114.35,62.46,59.27,60.01,58,40,12.75
roshchino,RU,29.61,60.25,55.92,57.99,86,99,8.59
sao francisco de assis,BR,-55.13,-29.55,66.74,66.74,79,97,12.41
gander,CA,-54.59,48.97,73.2,73.4,38,20,21.92
namibe,AO,12.15,-15.2,67.24,67.24,86,12,13.8
olinda,BR,-34.86,-8.01,82.4,82.4,61,40,10.29
provideniya,RU,-173.3,64.38,39.24,39.24,73,100,0.54
gboko,NG,9.0,7.32,78.73,78.73,82,88,11.07
tura,IN,90.22,25.52,74.86,74.86,94,99,3.4
vardo,NO,31.11,70.37,51.8,51.8,81,91,20.8
port blair,IN,92.75,11.67,82.76,82.76,76,100,2.64
suntar,RU,117.63,62.14,42.01,42.01,85,7,6.11
belmonte,BR,-38.88,-15.86,78.8,78.8,54,40,10.29
rawlins,US,-107.24,41.79,27.25,28.0,86,90,27.51
bredasdorp,ZA,20.04,-34.53,60.01,60.01,89,0,3.27
severo-kurilsk,RU,156.12,50.68,49.41,49.41,90,100,17.63
ocos,GT,-92.19,14.51,84.24,89.6,66,20,5.82
doha,QA,51.53,25.29,94.37,95.0,53,0,4.7
male,MV,73.51,4.17,84.2,84.2,83,75,18.34
rosarito,MX,-117.03,32.33,72.81,73.4,78,90,9.17
hilo,US,-155.09,19.73,68.13,75.2,88,90,4.65
merrill,US,-89.68,45.18,49.71,50.0,76,90,5.82
sept-iles,CA,-66.38,50.2,60.35,62.6,48,75,18.34
la crosse,US,-91.24,43.8,49.03,50.0,87,90,8.05
ranipur,PK,68.51,27.29,93.2,93.2,67,0,11.32
tual,ID,132.75,-5.67,79.72,79.72,86,6,22.53
buraydah,SA,43.98,26.33,93.2,93.2,18,0,3.36
port alfred,ZA,26.89,-33.59,68.54,68.54,78,0,15.93
dese,ET,39.63,11.13,55.24,55.24,79,19,2.1
evensk,RU,159.23,61.95,45.19,45.19,71,100,15.79
nome,US,-165.41,64.5,44.85,45.0,87,90,6.93
talnakh,RU,88.4,69.49,50.0,50.0,71,20,4.47
fortuna,US,-124.16,40.6,66.2,66.2,68,1,4.7
tuktoyaktuk,CA,-133.04,69.45,37.4,37.4,93,90,10.29
tiksi,RU,128.87,71.69,42.12,42.12,75,0,13.69
labytnangi,RU,66.42,66.66,54.66,54.66,93,100,6.22
bathsheba,BB,-59.52,13.22,87.8,87.8,70,20,6.93
ponta do sol,PT,-17.1,32.67,76.06,78.8,74,20,8.05
portland,US,-122.68,45.52,70.63,73.99,15,20,34.45
sitka,US,-135.33,57.05,60.37,60.37,87,99,2.48
ankazoabo,MG,44.52,-22.28,74.8,74.8,37,78,6.96
yarensk,RU,49.09,62.17,60.44,60.44,93,86,7.52
mercedes,AR,-59.43,-34.65,69.67,70.0,51,18,5.99
kabalo,CD,26.92,-6.05,83.34,83.34,31,5,3.85
champerico,GT,-91.92,14.3,80.85,87.8,66,40,9.42
cayenne,GF,-52.33,4.93,86.0,86.0,70,24,10.29
cockburn town,TC,-71.14,21.46,87.8,87.8,62,40,11.41
kolyvan,RU,82.74,55.31,46.4,46.4,100,90,6.71
saldanha,ZA,17.94,-33.01,59.31,59.31,87,0,5.37
cherskiy,RU,161.3,68.75,31.12,31.12,98,51,2.15
roald,NO,6.13,62.58,52.72,53.6,87,75,26.4
te anau,NZ,167.72,-45.42,47.17,47.17,78,88,10.42
jinhua,CN,119.65,29.11,70.36,70.36,89,15,1.61
porto belo,BR,-48.55,-27.16,66.42,66.99,100,75,6.93
brownwood,US,-98.99,31.71,84.2,84.2,58,1,13.87
cascais,PT,-9.42,38.7,83.16,86.0,23,29,8.05
khash,IR,61.22,28.22,69.76,69.76,22,0,7.23
geraldton,AU,114.6,-28.77,51.8,51.8,87,0,10.29
matagami,CA,-77.63,49.75,53.6,53.6,58,75,10.78
vaitape,PF,-151.75,-16.52,78.58,78.58,75,5,16.78
port moresby,PG,147.18,-9.44,77.0,77.0,88,75,17.22
san ignacio,BZ,-89.07,17.16,87.4,89.01,74,75,4.7
kahului,US,-156.47,20.89,76.95,82.4,58,40,16.11
itacarambi,BR,-44.09,-15.1,95.32,95.32,20,7,5.19
labuhan,ID,112.21,-6.88,78.64,78.64,80,34,7.29
oksovskiy,RU,39.9,62.61,51.12,51.12,98,100,3.42
brae,GB,-1.35,60.4,55.4,55.4,87,40,16.11
palestine,PS,35.2,31.92,82.02,86.0,70,75,8.05
norman wells,CA,-126.83,65.28,50.0,50.0,93,75,2.24
brigantine,US,-74.36,39.41,80.06,82.4,58,1,6.93
meadow lake,US,-106.54,34.8,77.76,82.0,27,40,26.4
east london,ZA,27.91,-33.02,66.2,66.2,93,0,10.29
nikolskoye,RU,30.79,59.7,55.13,55.4,71,20,4.47
hojai,IN,92.87,26.0,77.32,77.32,91,90,1.34
husavik,IS,-17.34,66.04,42.8,42.8,70,75,16.11
adrar,MR,-10.07,20.5,103.89,103.89,12,23,8.61
rumonge,BI,29.44,-3.97,77.5,77.5,60,92,0.96
north bend,US,-124.22,43.41,80.6,80.6,15,1,11.41
wanlaweyn,SO,44.89,2.62,76.35,76.35,68,44,18.41
rawson,AR,-65.1,-43.3,64.4,64.4,37,98,28.12
svetlogorsk,BY,29.73,52.63,56.32,56.32,74,100,10.09
tazovskiy,RU,78.7,67.47,48.16,48.16,73,36,11.5
victoria,HK,114.16,22.29,79.68,80.01,88,98,5.01
tabas,IR,56.92,33.6,86.0,86.0,11,0,4.7
havoysund,NO,24.66,71.0,52.68,53.6,81,40,17.22
castro,BR,-50.01,-24.79,80.4,80.4,45,57,6.26
santa lucia,ES,-15.54,27.91,86.34,87.01,48,49,24.16
leningradskiy,RU,178.42,69.38,39.51,39.51,81,84,2.01
ginda,IN,78.49,30.69,62.78,62.78,82,0,3.62
bardiyah,LY,25.09,31.76,76.71,76.71,76,0,11.77
rocky mountain house,CA,-114.92,52.37,54.01,54.01,47,79,5.59
port hedland,AU,118.57,-20.32,71.6,71.6,56,0,9.17
jimenez,MX,-105.4,28.33,84.2,84.2,37,90,5.82
itarema,BR,-39.92,-2.92,84.97,84.97,57,44,19.22
upernavik,GL,-56.15,72.79,37.54,37.54,78,97,6.85
manokwari,ID,134.08,-0.87,79.21,79.21,74,53,3.74
constitucion,CL,-72.42,-35.33,51.8,51.8,85,100,12.06
vao,NC,167.48,-22.67,67.03,67.03,79,70,22.44
genhe,CN,121.52,50.78,50.43,50.43,89,100,5.12
ucluelet,CA,-125.55,48.93,74.43,75.2,27,20,5.82
chokurdakh,RU,147.92,70.63,41.49,41.49,88,100,9.04
faya,SA,42.45,18.39,70.7,71.6,77,20,5.82
pavilosta,LV,21.19,56.89,62.6,62.6,82,100,14.99
mayumba,GA,10.66,-3.43,75.56,75.56,86,95,10.96
mehran,IR,46.16,33.12,78.8,78.8,21,0,2.24
cidreira,BR,-50.21,-30.18,61.57,61.57,95,98,18.07
ribeira grande,PT,-28.7,38.52,77.0,77.0,73,75,11.41
avera,US,-82.53,33.19,85.33,87.8,33,1,8.05
scarborough,GB,-0.4,54.28,68.63,69.01,85,34,4.0
krusa,DK,9.4,54.85,61.59,64.4,77,69,21.92
lorengau,PG,147.27,-2.02,82.13,82.13,78,97,8.12
katsuura,JP,140.3,35.13,80.76,82.0,79,0,3.0
mountain home,US,-115.69,43.13,58.37,59.0,19,1,11.41
narkevychi,UA,26.64,49.52,56.3,56.3,67,35,5.82
pamantingan,PH,124.46,6.7,72.23,72.23,91,67,2.17
trinidad,BO,-64.9,-14.83,87.8,87.8,43,100,5.82
chato,TZ,31.77,-2.64,71.56,71.56,68,32,4.38
bodden town,KY,-81.25,19.28,88.25,89.6,84,40,14.99
richards bay,ZA,32.04,-28.78,67.89,67.89,70,0,10.18
thompson,CA,-97.86,55.74,42.8,42.8,56,90,5.82
whitehorse,CA,-135.05,60.72,54.23,55.4,62,75,11.41
flagstaff,US,-111.65,35.2,65.98,71.01,52,20,23.04
havelock,US,-76.9,34.88,78.62,80.6,78,75,9.17
chumikan,RU,135.31,54.72,49.32,49.32,78,88,4.0
high level,CA,-117.14,58.52,62.6,62.6,51,75,8.05
sozimskiy,RU,52.25,59.74,57.24,57.24,96,81,5.97
sao joao da barra,BR,-41.05,-21.64,82.4,82.4,58,13,18.34
quatre cocos,MU,57.76,-20.21,73.71,73.99,83,20,11.41
grand forks,US,-97.03,47.93,46.63,46.99,65,90,10.29
bengkulu,ID,102.27,-3.8,77.59,77.59,84,39,6.06
necochea,AR,-58.74,-38.55,64.99,64.99,52,20,23.0
pathein,MM,94.73,16.78,77.36,77.36,91,100,2.71
opuwo,NA,13.84,-18.06,72.82,72.82,20,0,9.06
makakilo city,US,-158.09,21.35,79.66,82.4,65,1,4.7
pangkalanbuun,ID,111.62,-2.68,75.69,75.69,95,100,1.32
char bhadrasan,BD,90.22,23.32,84.2,84.2,74,75,6.15
cam ranh,VN,109.16,11.92,84.2,84.2,83,20,3.36
padang,ID,100.35,-0.95,78.46,78.46,79,71,5.14
taman,RU,36.72,45.21,69.4,69.8,83,20,2.24
hirara,JP,125.28,24.8,83.17,83.17,77,70,9.57
hinganghat,IN,78.83,20.57,77.0,77.0,88,75,4.94
birao,CF,22.79,10.28,76.73,76.73,81,44,3.04
san francisco,US,-122.42,37.77,67.8,69.8,64,90,8.05
furano,JP,142.47,43.28,65.16,65.16,93,2,4.32
jalu,LY,21.55,29.03,83.89,83.89,26,0,2.98
itoman,JP,127.67,26.12,80.96,82.4,94,75,5.82
araouane,ML,-3.53,18.9,102.22,102.22,20,15,14.27
bijar,IR,47.61,35.87,65.25,65.25,27,3,9.35
miramar,US,-80.23,25.99,89.76,91.0,62,20,10.29
joensuu,FI,29.76,62.6,51.57,53.01,93,75,5.82
abu samrah,SY,37.18,35.3,86.31,86.31,19,0,8.59
kirya,TZ,37.48,-3.92,72.05,72.05,57,53,8.79
lavrentiya,RU,-171.0,65.58,37.45,37.45,77,100,5.46
avarua,CK,-159.78,-21.21,73.4,73.4,83,100,4.7
nikel,RU,30.22,69.41,51.8,51.8,66,78,17.22
semey,KZ,80.23,50.41,47.88,47.88,75,26,6.89
yaan,NG,8.57,7.38,78.37,78.37,85,59,6.29
victor harbor,AU,138.62,-35.57,55.0,55.0,80,100,8.61
luwuk,ID,122.79,-0.95,77.05,77.05,78,74,5.82
lisakovsk,KZ,62.49,52.54,53.82,53.82,59,8,7.36
lasa,IT,10.7,46.62,63.36,64.0,72,5,3.36
namtsy,RU,129.67,62.72,33.8,33.8,75,0,4.47
tongliao,CN,122.27,43.61,61.34,61.34,83,100,15.84
treinta y tres,UY,-54.38,-33.23,62.1,62.1,70,38,15.77
kuvandyk,RU,57.36,51.48,61.95,61.95,56,53,9.15
airai,TL,125.41,-8.93,55.78,55.78,78,86,3.33
riyadh,SA,46.72,24.69,91.4,91.4,21,0,4.7
jaora,IN,75.13,23.63,77.0,77.0,85,42,5.08
wanning,CN,110.4,18.8,81.37,81.37,87,100,5.91
huarmey,PE,-78.15,-10.07,69.13,69.13,63,44,12.26
bethanien,NA,17.16,-26.5,72.84,72.84,21,0,6.24
lyngseidet,NO,20.22,69.58,50.94,51.8,71,80,11.41
nanortalik,GL,-45.24,60.14,43.02,43.02,68,99,2.91
codrington,AU,141.97,-38.27,44.94,44.94,82,4,2.8
kharan,PK,65.42,28.58,85.23,85.23,13,0,3.0
peleduy,RU,112.74,59.63,55.72,55.72,91,95,1.86
willowmore,ZA,23.49,-33.29,70.32,70.32,24,0,3.98
constantine,DZ,6.61,36.37,68.0,68.0,82,75,12.75
voh,NC,164.7,-20.97,63.41,63.41,89,33,6.91
